"","Periodos","Consumo_def","Vivienda_def","Empresas_def","Intermediarios_financieros_no_bancarios_Def","Programas_de_reestructura_Def"
"143","2021/05",885141.201510079,930922.970468471,2342759.14213032,81500.7194985651,0
"144","2021/06",886919.110564145,931707.802080205,2329338.15988565,78260.3155184454,0
"145","2021/07",888591.42302183,938398.378551703,2331251.58377431,77021.4859934964,0
"146","2021/08",889703.293497391,942219.282135212,2317023.58503878,75608.0528947197,0
"147","2021/09",897801.988293778,949554.413815311,2315433.97886358,77616.9475010302,0
"148","2021/10",888564.114762602,948141.823560634,2309354.21285973,77590.0375803373,0
"149","2021/11",911883.157442115,947572.569397256,2322706.29053844,76257.3804480525,0
"150","2021/12",896928.710829747,951118.133490051,2313509.44217454,78852.0478715637,0
"151","2022/01",903290.055151598,952060.565893647,2295190.92503941,74193.4719162832,0
"152","2022/02",901939.765894143,948562.683057943,2277623.79062796,71057.8195327803,0
"153","2022/03",902293.456081279,948139.145624006,2294641.48872523,72102.4426608342,0
"154","2022/04",907640.827629135,949377.086195948,2325894.72679618,73992.9650473305,0
"155","2022/05",914204.74447461,951881.555522374,2340378.56747164,74648.6609311692,0
"156","2022/06",923561.699804619,955037.11561825,2352510.87977473,77608.2928707235,0
"157","2022/07",930362.226826838,960823.103523634,2361611.5627267,76221.156022238,0
"158","2022/08",943492.852148915,969038.455926329,2363016.51002234,80670.4810749648,0
"159","2022/09",956777.005755622,981129.538731771,2391839.97162092,84924.8210056484,0
"160","2022/10",974257.815782782,990053.975775221,2416923.68063284,87704.1757609701,0
"161","2022/11",1011708.68632493,1002289.00205047,2441897.28152245,86715.4115351116,0
"162","2022/12",1002161.71401174,1008881.42278173,2446922.83734593,95957.9543048744,0
"163","2023/01",1005921.36958772,1007524.11570638,2419686.3578375,90794.9838865971,0
"164","2023/02",1016905.55258423,1013523.47216518,2420818.37447618,94214.0568715262,0
"165","2023/03",1024536.74176374,1020397.78346385,2439917.81449995,99712.9399403655,0
